ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
TAEE11;38,94;0,21;4,76;1,32;55,5;0,166;72,3;0,39;2,08;23,5;12,5;39.3;1,69;-;20.9%;0;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;876600
CAML3;4,91;1,45;7,21;6,74;57,8;0,047;95,7;1,03;3,44;19,8;48,8;16.4;0,56;-;3.4%;0;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 3.4%)', 'Small Cap (potencial alto)'];baixa;True;633700
KLBN3;3,81;-0,78;4,96;6,13;63,1;0,019;85,4;0,5;2,32;18,8;11,3;127.0;0,49;-;3.7%;0;EVITAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;313700
CSAN3;3,71;-1,07;9,44;-4,63;53,2;0,041;59,5;1,04;5,16;20,1;116,4;-;2,94;-;-27.2%;-5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 5.2%)'];alta;False;34629600
BPAC11;54,07;-0,24;7,05;0,37;55,4;0,309;63,1;0,81;3,07;30,2;19,4;88.1;3,24;-;24.4%;-5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;10206800
AZTE3;1,49;9,56;24,17;16,41;52,8;0,021;57,2;1,17;12,12;41,9;282,6;4.8;0,2;-;-3.9%;-5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 12.1%)'];alta;False;2060500
LJQQ3;1,22;0,0;16,19;2,52;58,6;0,024;72,4;0,72;6,28;29,8;135,2;-;0,62;-;-50.6%;-5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 6.3%)'];alta;False;1679400
OIBR3;0,1;0,0;0,0;-23,08;41,1;-0,001;25,8;0,0;4,57;150,0;560,0;-;-0,0;-;-;-5;EVITAR;15;EVITAR;['Volatilidade alta (ATR 4.6%)'];alta;False;1667600
USIM3;6,71;5,17;21,56;-8,21;53,6;0,153;80,4;1,64;5,73;59,8;63,2;-;0,4;-;-8.1%;-5;EVITAR;30;NEUTRO;['Volatilidade alta (ATR 5.7%)', 'Volume alto (1.6x)'];alta;False;1659500
HBSA3;3,52;1,15;5,07;10,69;63,7;0,044;94,1;0,72;2,98;21,0;24,7;176.0;2,39;-;2.2%;-5;EVITAR;0;EVITAR;[];alta;False;1171000
DASA3;2,61;-0,38;21,96;-0,76;51,2;0,021;54,4;0,77;7,1;112,2;82,8;-;0,48;-;-12.1%;-5;EVITAR;25;NEUTRO;['Volatilidade alta (ATR 7.1%)', 'Small Cap (potencial alto)'];baixa;True;963500
